date;US;India;Germany;Italy;Australia;SIR_Italy;SIR_Germany;SIR_Australia;SIR_US;SIR_India
2020-04-11;540714;8446;117658;152271;6303;929.6231610455644;51.86187189995519;6303.0;1095360.649693214;0.0
2020-04-12;567022;9205;120479;156363;6315;944.593114731426;52.91432572300676;6360.118101570338;1101850.9924816869;0.0
2020-04-13;594165;10453;123016;159516;6351;959.804117423089;53.98813736011442;6417.753810315985;1108377.389652389;0.0
2020-04-14;622493;11487;125098;162488;6415;975.2600499533996;55.083740216007584;6475.911816760066;1114941.351933712;0.0
2020-04-15;648390;12322;127584;165155;6440;990.9648555673224;56.20157648090085;6534.596854028248;1121543.693398029;0.0
2020-04-16;678028;13430;130450;168941;6462;1006.9225409113108;57.342097350950205;6593.813698016183;1128184.909851171;0.0
2020-04-17;711135;14352;133830;172434;6522;1023.1371771022436;58.50576318683942;6653.567167931673;1134865.3528010475;0.0
2020-04-18;738464;15722;137439;175925;6568;1039.6129012797755;59.69304367347186;6713.862126754332;1141585.309062046;0.0
2020-04-19;763886;17615;139897;178972;6610;1056.353916958417;60.90441802819225;6774.7034815469815;1148345.0370080357;0.0
2020-04-20;793970;18539;141672;181228;6623;1073.364495215322;62.14037519504035;6836.096183752526;1155144.7830054257;0.0
2020-04-21;820045;20080;143457;183957;6645;1090.6489758726468;63.40141404317078;6898.045229698182;1161984.7888284663;0.0
2020-04-22;849926;21370;145694;187327;6652;1108.2117686061445;64.68804356134544;6960.555661005834;1168865.2949915812;0.0
2020-04-23;881891;23077;148046;189973;6662;1126.0573540723587;66.00078305447109;7023.632564979394;1175786.5422420965;0.0
2020-04-24;913856;24530;150383;192994;6677;1144.1902850547683;67.34016237625987;7087.281075008663;1182748.7722282363;0.0
2020-04-25;944770;26283;152438;195351;6694;1162.6151876061017;68.70672213453048;7151.506371019872;1189752.2277991895;0.0
2020-04-26;970741;27890;154175;197675;6714;1181.3367621236985;70.10101390973765;7216.313679883971;1196797.1531418862;0.0
2020-04-27;995391;29451;155193;199414;6721;1200.3597847176266;71.52360047841401;7281.708275815334;1203883.793845678;0.0
2020-04-28;1019964;31324;156337;201505;6744;1219.68910838576;72.97505603844101;7347.695480852712;1211012.3969353607;0.0
2020-04-29;1046816;33062;157641;203591;6752;1239.329664240336;74.45596642375845;7414.280665245587;1218183.210890385;0.0
2020-04-30;1076518;34863;159119;205463;6766;1259.2864627686024;75.9669293630824;7481.469248036934;1225396.4856581008;0.0
2020-05-01;1111410;37257;160758;207428;6778;1279.5645951142712;77.50855471649966;7549.266697511322;1232652.472660384;0.0
2020-05-02;1138174;39699;161703;209328;6799;1300.169234380109;79.08146471894837;7617.678531307119;1239951.4248284737;0.0
2020-05-03;1161907;42505;162496;210717;6822;1321.1056368918416;80.686294230835;7686.71031701801;1247293.5965642603;0.0
2020-05-04;1185709;46437;163175;211938;6847;1342.3791433791955;82.32369099382528;7756.367672631261;1254679.2437839615;0.0
2020-05-05;1209728;49400;163860;213013;6875;1363.995180635154;83.99431590228403;7826.65626696832;1262108.6239186546;0.0
2020-05-06;1234210;52987;164807;214457;6894;1385.9592627931747;85.69884326228657;7897.581820129416;1269581.995923434;0.0
2020-05-07;1261949;56351;166091;215858;6913;1408.276992715239;87.43796105933185;7969.150103942139;1277099.6202930529;0.0
2020-05-08;1289132;59695;167300;217185;6918;1430.954063416188;89.21237123907177;8041.366942414002;1284661.7590589589;0.0
2020-05-09;1313586;62808;168551;218268;6939;1453.996259510356;91.02278998998445;8114.238212444694;1292268.6758097906;0.0
2020-05-10;1332333;67161;169218;219070;6948;1477.4094586807742;92.86994803160329;8187.769845439248;1299920.635753921;0.0
2020-05-11;1351410;70768;169575;219814;6970;1501.1996332171725;94.7545909161336;8261.96782578776;1307617.9055416323;70768.0
2020-05-12;1374792;74292;170508;221216;6980;1525.3728515978248;96.6774793340492;8336.838191940486;1315360.7535580508;73739.7617052653
2020-05-13;1394807;78055;171306;222104;6989;1549.9352798765522;98.63938940406138;8412.387037069857;1323149.4494176658;76835.46855740651
2020-05-14;1420697;81997;172239;223096;7019;1574.8931833144652;100.64111299306856;8488.620509570366;1330984.2649918082;80060.2172842278
2020-05-15;1445548;85784;173152;223885;7035;1600.2529279760838;102.68345803509396;8565.544813563483;1338865.4733379567;83419.30810972485
2020-05-16;1469598;90648;173772;224760;7044;1626.0209823465236;104.7672488563464;8643.166209407647;1346793.348849116;86918.2521386783
2020-05-17;1488327;95698;174355;225435;7054;1652.2039189738548;106.8933265106393;8721.491014213323;1354768.1677865789;90562.77924347132
2020-05-18;1510635;100328;174697;225886;7068;1678.808416136937;109.0625491362403;8800.525602359143;1362790.2082572726;94358.84612560044
2020-05-19;1531138;106475;175210;226699;7072;1705.841259621183;111.27579227606591;8880.276405812703;1370859.749965489;98312.64476035928
2020-05-20;1553964;112028;176007;227364;7081;1733.309344484361;113.53394923691586;8960.749914852915;1378977.0741532797;102430.61065591812
2020-05-21;1579116;118226;176752;228006;7095;1761.219676625418;115.8379314511262;9041.952678674845;1387142.463758926;106719.43128142772
2020-05-22;1602945;124794;177212;228658;7099;1789.579374651527;118.18866884336478;9123.891305841216;1395356.203409633;111186.05601577168
2020-05-23;1623134;131423;177850;229327;7114;1818.3956716876703;120.58711020543494;9206.572464823968;1403618.5793941102;115837.70540767776
2020-05-24;1643308;138536;178281;229858;7114;1847.6759172128093;123.03422359966363;9290.002884550664;1411929.8797003983;120681.87999985626
2020-05-25;1662402;144950;178570;230158;7126;1877.427578924536;125.53099673090986;9374.18935495582;1420290.3940263246;125726.37020088322
2020-05-26;1681128;150793;179002;230555;7139;1907.6582446325533;128.0784373399776;9459.13872753706;1428700.4137852057;130979.26662853976
2020-05-27;1699891;158086;179364;231139;7150;1938.375624315905;130.67757361541044;9544.857915916213;1437160.2321155143;136448.9702989488
2020-05-28;1721158;165386;179717;231732;7165;1969.5875520636607;133.32945460739575;9631.353896233615;1445670.1438925413;142144.2030884598
2020-05-29;1746240;173491;180458;232248;7184;2001.30198788476;136.03515064978512;9718.633707574556;1454230.4465029824;148074.01843907792
2020-05-30;1769320;181827;181196;232664;7192;2033.5270198295807;138.79575381083964;9806.704453058604;1462841.438320267;154247.81237730855
2020-05-31;1788239;190609;181482;232997;7202;2066.270866043277;141.61237833478447;9895.573300173222;1471503.4177908937;160675.33461250862
2020-06-01;1806079;198370;181815;233197;7221;2099.541876850975;144.48616105675976;9985.247481343313;1480216.6887351037;167366.6999907939
2020-06-02;1826169;207191;182028;233515;7229;2133.3485368752968;147.41826187756203;10075.7342945147;1488981.5537932536;174332.40001302015
2020-06-03;1845325;216824;182370;233836;7240;2167.6994671876264;150.4098642300087;10167.041103742204;1497798.3179063315;181583.3146737568
2020-06-04;1873259;226713;182764;234013;7247;2202.6034276840523;153.46217555427162;10259.17533978226;1506667.2901446314;189130.7242929041
2020-06-05;1899699;236184;183271;234531;7252;2238.069319199009;156.57642778238647;10352.144500690143;1515588.7774924089;196986.32168110332
2020-06-06;1919968;246622;183678;234801;7259;2274.106185630635;159.75387783387268;10445.956152480094;1524563.0926442016;205162.224196531
2020-06-07;1937794;257486;183979;234998;7265;2310.723216332241;162.99580820477763;10540.617930182329;1533590.547990073;213670.9862184749
2020-06-08;1954694;265928;184193;235278;7267;2347.9297484443123;166.3035274139658;10636.137537786242;1542671.4563068915;222525.6117973093
2020-06-09;1975015;276146;184543;235561;7274;2385.7352692627724;169.67837049885665;10732.522748996433;1551806.1399983736;231739.56634602408
2020-06-10;1996733;286605;184861;235763;7285;2424.149418643972;173.1216995836835;10829.781407948292;1560994.9083369535;241326.78960508597
2020-06-11;2019011;297535;185416;236142;7289;2463.181991454889;176.63490442708166;10927.921429840924;1570238.094062016;251301.7085423225
2020-06-12;2044569;308993;185674;236305;7294;2502.8429403664163;180.2194029803005;11026.950801574996;1579535.994564393;261679.2485433064
2020-06-13;2068726;320922;186022;236651;7320;2543.142378069405;183.87664195619328;11126.877582395557;1588888.9601669891;272474.84657380776
2020-06-14;2087627;332424;186269;236989;7335;2584.090579753132;187.608097420621;11227.709904539804;1598297.309202364;283704.4638148106
2020-06-15;2108626;343091;186461;237290;7347;2625.697985826944;191.41527548465493;11329.455973891154;1607761.3682966726;295384.5959196472
2020-06-16;2133175;354065;186839;237500;7370;2667.975204564606;195.2997127816914;11432.124071072089;1617281.4673022537;307532.28609630687
2020-06-17;2160225;366946;187184;237828;7391;2710.9330147892506;199.2629771048156;11535.722551825404;1626857.9378370212;320165.136939738
2020-06-18;2188452;380532;187764;238159;7409;2754.5823685994333;203.3066680553548;11640.259847347235;1636491.1138896595;333301.3191415116
2020-06-19;2219506;395048;188534;238011;7411;2798.9343941367347;207.4324176857272;11745.744465223555;1646181.3341054905;346959.58410266024
2020-06-20;2251332;410451;189135;238275;7461;2844.0003983954034;211.64189115473985;11852.184990116915;1655928.937115751;361159.2742545797
2020-06-21;2277168;425282;189822;238499;7474;2889.7918702479337;215.936787395516;11959.590084458578;1665734.241659241;375920.3294938181
2020-06-22;2306969;440215;190359;238720;7492;2936.3204841563124;220.31883983153443;12067.968489146017;1675597.6103411356;391263.298788032
2020-06-23;2345698;456183;190862;238833;7521;2983.59810176687;224.78981716275752;12177.329024245812;1685519.390937205;407209.3480827424
2020-06-24;2381949;473105;191449;239410;7558;3031.6367753027894;229.35152390828225;12287.68058970196;1695499.9215435754;423780.2635701035
2020-06-25;2421248;490401;192079;239706;7595;3080.448750732945;234.00580119159764;12399.03216620642;1705539.5504252804;440998.4615896665
2020-06-26;2470294;508953;192556;239961;7601;3130.0464708713653;238.754527488517;12511.392816444491;1715638.6272795375;458886.99299786886
2020-06-27;2511048;528859;193243;240136;7686;3180.442578524266;243.5996193818669;12624.77168467415;1725797.5041004848;477469.5422453536
2020-06-28;2553973;548318;193499;240310;7764;3231.649919685225;248.5430323307699;12739.177998048412;1736016.5351850698;496770.4346489467
2020-06-29;2595268;566840;193761;240436;7834;3283.681546779036;253.5867614547333;12854.621067314967;1746296.0764565405;516814.6358662017
2020-06-30;2645092;585481;194259;240578;7920;3336.550721954796;258.7328424147365;12971.110287568052;1756636.4864024976;537627.7456193455
2020-07-01;2694215;604641;194725;240760;8001;3390.270920960224;263.9833522566571;13088.655139005865;1767038.125539812;559236.001154388
2020-07-02;2749158;625544;195228;240961;8066;3444.8558367503065;269.34041008890506;13207.265187693642;1777501.3935625765;581666.2702272347
2020-07-03;2800662;648315;195674;241184;8260;3500.319381733552;274.8061780128822;13326.950086332394;1788026.5439213414;604946.0381917828
2020-07-04;2846608;673165;196096;241419;8443;3556.6756919047752;280.38286199300643;13447.719575104466;1798614.0590603924;629103.4061584193
2020-07-05;2900336;697413;196335;241611;8583;3613.939130432364;286.0727127428217;13569.583483399374;1809264.259261792;654167.0756853811
2020-07-06;2943501;719664;196554;241819;8755;3672.1242912894727;291.8780266282321;13692.551729251078;1819977.5153790773;680166.3278581788
2020-07-07;3000732;742417;196944;241956;8886;3731.2460029408094;297.8011465901501;13816.63432028003;1830754.2181073776;707131.0143215909
2020-07-08;3061038;767296;197341;242149;9056;3791.319332085645;303.84446322968824;13941.841354768472;1841594.733023968;735091.53171479
2020-07-09;3120694;793802;197783;242363;9374;3852.359587457676;310.0104156631149;14068.183022473972;1852499.4394378653;764078.7913144046
2020-07-10;3189553;820916;198178;242639;9553;3914.382323712714;316.30149243327145;14195.669605449537;1863468.7212059144;794124.2007688322
2020-07-11;3249992;849522;198556;242827;9797;3977.403346459013;322.720232570221;14324.311478870406;1874502.939353397;825259.6262636471
2020-07-12;3310124;878254;198804;243061;9980;4041.438715144766;329.2692266117074;14454.119111867552;1885602.497956864;857517.3512875342
2020-07-13;3369488;906752;198963;243230;10251;4106.504746834123;335.9511176433966;14585.103068367978;1896767.788572041;890930.04658779
2020-07-14;3435150;936181;199375;243344;10487;4172.618020743438;342.76860235919065;14717.274007941867;1907999.1922054067;925530.7181618748
2020-07-15;3501176;968857;199726;243506;10810;4239.795382430477;349.72443216009367;14850.642686656662;1919297.100691432;961352.653730406
2020-07-16;3571990;1003832;200260;243736;11233;4308.053948047814;356.82141444965424;14985.2199579381;1930661.912399968;998429.3782258348
2020-07-17;3638462;1039084;200843;243967;11441;4377.411108661186;364.0624135281988;15121.016773438336;1942094.00963072;1036794.5860639116
2020-07-18;3702784;1077781;201372;244216;11802;4447.884534633529;371.4503517690242;15258.044184264654;1953593.798652956;1076482.0739138017
2020-07-19;3761716;1118206;201574;244434;12069;4519.492180075451;378.9882108318191;15396.31334388308;1965161.6885837675;1117525.6790628
2020-07-20;3822379;1155338;201823;244624;12428;4592.252287631486;386.6790328607042;15535.835505449086;1976798.0758063635;1159959.19513735
2020-07-21;3890573;1193078;202345;244752;12894;4666.183394293813;394.5259217054727;15676.622023707489;1988503.436730316;1203816.2895980862
2020-07-22;3958118;1238798;202799;245032;13302;4741.304334017063;402.5320441663657;15818.684356302949;2000277.9672701089;1249130.4229092563
2020-07-23;4026004;1288108;203368;245338;13595;4817.634243073552;410.7006313215725;15962.034064714466;2012122.294922378;1295934.747692458
2020-07-24;4101151;1337024;204183;245590;13950;4895.192565058109;419.0349800053194;16106.682815198734;2024036.752848532;1344262.0095268136
2020-07-25;4165351;1385635;204964;245864;14403;4973.999055794798;427.5384538160612;16252.64237974239;2036021.759863977;1394144.4456530083
2020-07-26;4221190;1435616;205269;246118;14935;5054.073788318677;436.2144845737988;16399.92463702335;2048077.7254999625;1445613.668747299
2020-07-27;4280914;1480073;205609;246286;15303;5135.437157933472;445.0665737170792;16548.541573381226;2060205.0866952967;1498700.549961085
2020-07-28;4345744;1531669;206242;246488;15582;5218.109887346031;454.0982937094931;16698.50528379704;2072404.258000912;1553435.0971200056
2020-07-29;4409872;1581963;206926;246776;16298;5302.113031878416;463.3132894733746;16849.82797288221;2084675.665693492;1609846.3258242672
2020-07-30;4479113;1634746;207828;247158;16903;5387.467985601669;472.71527985110095;17002.521955877033;2097019.7380552755;1667962.1242796383
2020-07-31;4543689;1695988;208698;247537;17280;5474.196487015853;482.3080592321466;17156.59965965865;2109436.90418398;1727809.1126962928
2020-08-01;4601267;1750723;209653;247832;17895;5562.3206226454095;492.0954991518713;17312.073623592067;2121927.597494549;1789412.5061495667
2020-08-02;4648376;1803695;209893;248070;18318;5651.862833565202;502.0815495396212;17468.95650013358;2134492.252562792;1852795.9617406176
2020-08-03;4690060;1855745;210402;248229;18730;5742.845921074576;512.2702404527304;17627.26105684089;2147131.3071418097;1917981.4231416844
2020-08-04;4751717;1908254;211281;248419;19445;5835.293052442195;522.6656836989166;17787.00017703649;2159845.202672276;1984988.9814324265
2020-08-05;4806065;1964536;212022;248803;19890;5929.227766738461;533.2720744874371;17948.18686080469;2172634.3800257184;2053836.7065893055
2020-08-06;4866245;2027074;213067;249204;20272;6024.67398075653;544.0936931121374;18110.83422605272;2185499.288421237;2124540.483747013
2020-08-07;4926832;2088611;214214;249756;20698;6121.655995022951;555.1349066690211;18274.95550958175;2198440.372889313;2197113.879836983
2020-08-08;4990765;2153010;215336;250103;21084;6220.198499948698;566.4001710693619;18440.56406816784;2211458.083009708;2271567.9634239185
2020-08-09;5045032;2215074;215891;250566;21397;6320.32658376113;577.8940326649121;18607.673379652984;2224552.873002868;2347911.142009315
2020-08-10;5096649;2268675;216327;250825;21713;6422.065737072362;589.6211299151867;18776.29704404628;2237725.200700365;2426149.0434760423
2020-08-11;5153604;2329638;217293;251237;22127;6525.441858885238;601.5861953734765;18946.448784635333;2250975.5264530927;2506284.3308851207
2020-08-12;5208848;2396637;218519;251713;22358;6630.481263746244;613.7940575883347;19118.14244910801;2264304.3099063365;2588316.552644673
2020-08-13;5260504;2461190;219964;252235;22742;6737.210688368766;626.2496430419228;19291.392010684624;2277712.018668018;2672242.048248491
2020-08-14;5330629;2525922;221413;252809;23035;6845.657298357423;638.9579781257506;19466.211569260548;2291199.120147212;2758053.7677059206
2020-08-15;5383024;2589952;222828;253438;23287;6955.848695034624;651.924191181985;19642.61535219605;2304766.0831673727;2845741.1481235083
2020-08-16;5417686;2647663;223453;253915;23558;7067.812922370523;665.1535149163296;19820.617715165696;2318413.381738306;2935290.052829838
2020-08-17;5455535;2702681;224014;254235;23773;7181.578474017536;678.6512880878629;20000.23314456373;2332141.4913071585;3026682.608334502
2020-08-18;5500437;2767253;225404;254636;23989;7297.17430086638;692.4229576757501;20181.47625808632;2345950.8900368493;3119897.121252828
2020-08-19;5546321;2836925;226914;255278;24236;7414.629820140318;706.4740811476469;20364.36180589136;2359842.0588873224;3214908.058591201
2020-08-20;5591449;2905825;228621;256118;24407;7533.974919656527;720.8103286918904;20548.90467179741;2373815.483735208;3311685.917980327
2020-08-21;5639040;2975701;230048;257065;24602;7655.239966262504;735.4374854929058;20735.119874493244;2387871.650529512;3410197.197418369
2020-08-22;5684713;3044940;232082;258136;24811;7778.455813724439;750.3614540504533;20923.022568758064;2402011.0485777715;3510404.422400513
2020-08-23;5716624;3106348;232864;259345;24915;7903.653810477253;765.5882566399399;21112.62804669257;2416234.170044246;3612266.066882952
2020-08-24;5750547;3167323;233575;260298;25053;8030.865807492501;781.1240380846544;21303.951738960903;2430541.5113264746;3715736.584761667
2020-08-25;5793220;3224547;234853;261174;25204;8160.124166265508;796.9750676373004;21497.00921604345;2444933.572661799;3820766.4870050033
2020-08-26;5835293;3310234;236429;262540;25322;8291.461766923088;813.1477416796456;21691.81618950081;2459410.854049278;3927302.3304856378
2020-08-27;5885811;3387500;237936;263949;25448;8424.912016453185;829.6485863311692;21888.38851324873;2473973.8596612453;4035286.81458098
2020-08-28;5932281;3463972;239507;265409;25547;8560.50885837235;846.484260069384;22086.74218484433;2488623.0965189743;4144658.908952785
2020-08-29;5975384;3542733;240986;266853;25670;8698.286781638046;863.6615564008189;22286.893347082;2503359.0777829187;4255353.924221482
2020-08-30;6009515;3621245;241771;268218;25746;8838.280826430362;881.1874065833963;22488.858289256328;2518182.3157626204;4367303.67019605
2020-08-31;6042877;3691166;242381;269214;25819;8980.526594408431;899.0688826352246;22692.653447948924;2533093.3267688863;4480436.632839083
2020-09-01;6084855;3769523;243599;270189;25923;9125.06025766137;917.3132003606876;22898.29540868456;2548092.6302106977;4594678.134314596
2020-09-02;6124816;3853406;244855;271515;26049;9271.918567772706;935.9277216449724;23105.80090728119;2563180.749422326;4709950.542228166
2020-09-03;6169957;3936747;246166;272912;26136;9421.138865022209;954.9199576857592;23315.186831209907;2578358.2112614647;4826173.492791172
2020-09-04;6218291;4023179;247619;274644;26207;9572.759087726585;974.2975720184376;23526.47022096678;2593625.54383902;4943264.138304134
2020-09-05;6261914;4113811;248997;276338;26278;9726.817781720712;994.0683835919284;23739.66827145693;2608983.279081907;5061137.390788997
2020-09-06;6291033;4204613;249985;277634;26321;9883.354110060383;1014.240369903892;23954.798333390707;2624431.951953498;5179706.18723743
2020-09-07;6315596;4280422;250799;278784;26373;10042.40786542617;1034.821670197986;24171.877914692137;2639972.1026403205;5298881.811176215
2020-09-08;6342340;4370128;252298;280153;26465;10204.019477399404;1055.8205891875796;24390.924681919783;2655604.272026071;5418574.150886186
2020-09-09;6375978;4465863;253474;281583;26524;10368.230021998366;1077.2456001509938;24611.956461699952;2671329.0045335204;5538692.000611843
2020-09-10;6415426;4562414;255366;283180;26564;10535.081232898898;1099.1053479807754;24834.99124217251;2687146.847970367;5659143.432139066
2020-09-11;6460049;4659984;256850;284796;26607;10704.61551187284;1121.4086528984378;25060.047174451192;2703058.3544918266;5779836.04845138
2020-09-12;6505632;4754356;258480;286297;26651;10876.875939384588;1144.16451399618;25287.142574624915;2719064.079658797;5900677.310160342
2020-09-13;6545923;4846427;259428;287753;26692;11051.906285347564;1167.3821128472164;25516.295924813207;2735164.580206065;6021574.92692394
2020-09-14;6578487;4930236;260355;288761;26739;11229.751020042446;1191.0708171857218;25747.52587428436;2751360.4171179906;6142437.089974794
2020-09-15;6615665;5020359;261762;289990;26778;11410.455325198904;1215.2401846985117;25980.851241301305;2767652.15464625;6263172.80823741
2020-09-16;6653957;5118253;263663;291442;26813;11594.06510587913;1239.8999675137002;26216.291014650586;2784040.36033397;6383692.287569148
2020-09-17;6699276;5214677;265857;293025;26861;11780.62700463895;1265.0601153962486;26453.86435518488;2800525.605605976;6503907.130155708
2020-09-18;6749460;5308014;267773;294932;26885;11970.188408469869;1290.7307797344354;26693.590597379072;2817108.466057634;6623730.660654329
2020-09-19;6795238;5400619;270070;296569;26898;12162.79746203167;1316.922317779113;26935.4892509;2833789.5188593203;6743078.264893633
2020-09-20;6836848;5487580;271415;298156;26912;12358.503080039683;1343.6452968007889;27179.580002190007;2850569.3454451025;6861867.563651243
