;date;US;India;Germany;Italy;Australia
201;2020-08-10;5096649;2268675;216327;250825;21713
202;2020-08-11;5153604;2329638;217293;251237;22127
203;2020-08-12;5208848;2396637;218519;251713;22358
204;2020-08-13;5260504;2461190;219964;252235;22742
205;2020-08-14;5330629;2525922;221413;252809;23035
206;2020-08-15;5383024;2589952;222828;253438;23287
207;2020-08-16;5417686;2647663;223453;253915;23558
208;2020-08-17;5455535;2702681;224014;254235;23773
209;2020-08-18;5500437;2767253;225404;254636;23989
210;2020-08-19;5546321;2836925;226914;255278;24236
211;2020-08-20;5591449;2905825;228621;256118;24407
212;2020-08-21;5639040;2975701;230048;257065;24602
213;2020-08-22;5684713;3044940;232082;258136;24811
214;2020-08-23;5716624;3106348;232864;259345;24915
215;2020-08-24;5750547;3167323;233575;260298;25053
216;2020-08-25;5793220;3224547;234853;261174;25204
217;2020-08-26;5835293;3310234;236429;262540;25322
218;2020-08-27;5885811;3387500;237936;263949;25448
219;2020-08-28;5932281;3463972;239507;265409;25547
220;2020-08-29;5975384;3542733;240986;266853;25670
221;2020-08-30;6009515;3621245;241771;268218;25746
222;2020-08-31;6042877;3691166;242381;269214;25819
223;2020-09-01;6084855;3769523;243599;270189;25923
224;2020-09-02;6124816;3853406;244855;271515;26049
225;2020-09-03;6169957;3936747;246166;272912;26136
226;2020-09-04;6218291;4023179;247619;274644;26207
227;2020-09-05;6261914;4113811;248997;276338;26278
228;2020-09-06;6291033;4204613;249985;277634;26321
229;2020-09-07;6315596;4280422;250799;278784;26373
230;2020-09-08;6342340;4370128;252298;280153;26465
231;2020-09-09;6375978;4465863;253474;281583;26524
232;2020-09-10;6415426;4562414;255366;283180;26564
233;2020-09-11;6460049;4659984;256850;284796;26607
234;2020-09-12;6505632;4754356;258480;286297;26651
235;2020-09-13;6545923;4846427;259428;287753;26692
236;2020-09-14;6578487;4930236;260355;288761;26739
237;2020-09-15;6615665;5020359;261762;289990;26778
238;2020-09-16;6653957;5118253;263663;291442;26813
239;2020-09-17;6699276;5214677;265857;293025;26861
240;2020-09-18;6749460;5308014;267773;294932;26885
241;2020-09-19;6795238;5400619;270070;296569;26898
242;2020-09-20;6836848;5487580;271415;298156;26912
243;2020-09-21;6868891;5562663;272337;299506;26942
244;2020-09-22;6907162;5646010;274158;300897;26972
245;2020-09-23;6948282;5732518;275927;302537;26980
246;2020-09-24;6997165;5818570;278070;304323;27000
247;2020-09-25;7044301;5903932;280223;306235;27016
248;2020-09-26;7087848;5992532;282730;308104;27040
249;2020-09-27;7121627;6074702;284140;309870;27044
250;2020-09-28;7159367;6145291;285332;311364;27055
251;2020-09-29;7201400;6225763;287421;313011;27078
252;2020-09-30;7240031;6312584;289219;314861;27096
253;2020-10-01;7286275;6394068;291722;317409;27109
254;2020-10-02;7339718;6473544;294395;319908;27121
255;2020-10-03;7388999;6549373;296958;322751;27135
256;2020-10-04;7422130;6623815;299237;325329;27148
257;2020-10-05;7459487;6685082;300619;327586;27173
258;2020-10-06;7504032;6757131;303258;330263;27181
259;2020-10-07;7553169;6835655;306086;333940;27206
260;2020-10-08;7611059;6906151;310144;338398;27226
261;2020-10-09;7666138;6979423;314660;343770;27244
262;2020-10-10;7721504;7053806;319381;349494;27263
263;2020-10-11;7768404;7120538;322864;354950;27285
264;2020-10-12;7810484;7175880;325331;359569;27310
265;2020-10-13;7860607;7239389;329453;365467;27337
266;2020-10-14;7919049;7307097;334585;372799;27357
267;2020-10-15;7982586;7370468;341223;381602;27371
268;2020-10-16;8052760;7432680;348557;391611;27378
269;2020-10-17;8107592;7494551;356387;402536;27390
270;2020-10-18;8159762;7550273;361974;414241;27399
271;2020-10-19;8227644;7597063;366299;423578;27405
272;2020-10-20;8289381;7651107;373167;434449;27443
273;2020-10-21;8350087;7706946;380762;449648;27458
274;2020-10-22;8429709;7761312;392049;465726;27476
275;2020-10-23;8511369;7814682;403291;484869;27495
276;2020-10-24;8589744;7864811;418005;504509;27513
277;2020-10-25;8650719;7909959;429181;525782;27525
278;2020-10-26;8715283;7946429;437866;542789;27539
279;2020-10-27;8792506;7990322;449275;564778;27553
280;2020-10-28;8878983;8040203;464239;589766;27565
281;2020-10-29;8970276;8088851;481013;616595;27579
282;2020-10-30;9070125;8137119;499694;647674;27585
283;2020-10-31;9157468;8184082;518753;679430;27595
284;2020-11-01;9235298;8229313;532930;709335;27601
285;2020-11-02;9317105;8267623;545027;731588;27610
286;2020-11-03;9441871;8313876;560379;759829;27622
287;2020-11-04;9542133;8364086;577593;790377;27630
288;2020-11-05;9670214;8411724;597583;824879;27644
289;2020-11-06;9797270;8462080;619089;862681;27652
290;2020-11-07;9924334;8507754;642488;902490;27658
291;2020-11-08;10044007;8553657;658505;935104;27665
292;2020-11-09;10160963;8591730;671868;960373;27669
293;2020-11-10;10297515;8636011;687200;995463;27671
294;2020-11-11;10445197;8683916;705687;1028424;27675
295;2020-11-12;10603993;8728795;727553;1066401;27676
296;2020-11-13;10783511;8773479;751095;1107303;27682
297;2020-11-14;10947561;8814579;773556;1144552;27711
298;2020-11-15;11087276;8845127;790503;1178529;27749
299;2020-11-16;11240364;8874290;801327;1205881;27758
300;2020-11-17;11405011;8912907;815746;1238072;27777
301;2020-11-18;11576980;8958483;833307;1272352;27785
302;2020-11-19;11769281;9004365;855916;1308528;27792
303;2020-11-20;11970950;9050597;879564;1345767;27806
304;2020-11-21;12150770;9095806;902528;1380531;27821
305;2020-11-22;12297357;9139865;918269;1408868;27834
306;2020-11-23;12478869;9177840;929133;1431795;27843
307;2020-11-24;12652431;9222216;942687;1455022;27853
308;2020-11-25;12832643;9266705;961320;1480874;27865
309;2020-11-26;12949894;9309787;983588;1509875;27873
310;2020-11-27;13164528;9351109;1006394;1538217;27886
311;2020-11-28;13332752;9392919;1028089;1564532;27892
312;2020-11-29;13473104;9431691;1042700;1585178;27902
313;2020-11-30;13628018;9462809;1053869;1601554;27912
314;2020-12-01;13825134;9499413;1067473;1620901;27923
315;2020-12-02;14021297;9534964;1084743;1641610;27939
316;2020-12-03;14241519;9571559;1106789;1664829;27949
317;2020-12-04;14476889;9608211;1130238;1688939;27956
318;2020-12-05;14698899;9644222;1153556;1709991;27965
319;2020-12-06;14878223;9677203;1171323;1728878;27972
320;2020-12-07;15073683;9703770;1183655;1742557;27987
321;2020-12-08;15300740;9735850;1197709;1757394;27993
322;2020-12-09;15516747;9767371;1218524;1770149;28000
323;2020-12-10;15753691;9796744;1242203;1787147;28011
324;2020-12-11;15992593;9826775;1272078;1805873;28025
325;2020-12-12;16217128;9857029;1300516;1825775;28030
326;2020-12-13;16408725;9884100;1320716;1843712;28037
327;2020-12-14;16618553;9906165;1337078;1855737;28048
328;2020-12-15;16844868;9932547;1351510;1870576;28060
329;2020-12-16;17079672;9956557;1379238;1888144;28072
330;2020-12-17;17319918;9979447;1406161;1906377;28093
331;2020-12-18;17567864;10004599;1439938;1921778;28126
332;2020-12-19;17773715;10031223;1471238;1938083;28168
333;2020-12-20;17960910;10055560;1494009;1953185;28198
334;2020-12-21;18157768;10075116;1510652;1964054;28219
335;2020-12-22;18363698;10099066;1530180;1977370;28237
336;2020-12-23;18585139;10123778;1554920;1991278;28262
337;2020-12-24;18798087;10146845;1587115;2009317;28274
338;2020-12-25;18925265;10169118;1612648;2028354;28297
339;2020-12-26;19142705;10187850;1627103;2038759;28308
340;2020-12-27;19278666;10207871;1640858;2047696;28337
341;2020-12-28;19451968;10224303;1651834;2056277;28349
342;2020-12-29;19657940;10244852;1664726;2067487;28381
343;2020-12-30;19876237;10266674;1687185;2083689;28405
344;2020-12-31;20191325;10286709;1719737;2107166;28425
345;2021-01-01;20370227;10305788;1742661;2129376;28460
346;2021-01-02;20642506;10323965;1755351;2141201;28484
347;2021-01-03;20845907;10340469;1765666;2155446;28504
348;2021-01-04;21031409;10356844;1775513;2166244;28517
349;2021-01-05;21264272;10374932;1787410;2181619;28536
350;2021-01-06;21524033;10395278;1808647;2201945;28546
351;2021-01-07;21810277;10413417;1835038;2220361;28571
352;2021-01-08;22114343;10413417;1866887;2237890;28582
353;2021-01-09;22379081;10450284;1891581;2257866;28595
354;2021-01-10;22589924;10466595;1908527;2276491;28614
355;2021-01-11;22793888;10479179;1921024;2289021;28634
356;2021-01-12;23015701;10495147;1933826;2303263;28650
357;2021-01-13;23245031;10512093;1953426;2319036;28660
358;2021-01-14;23480609;10527683;1978590;2336279;28669
359;2021-01-15;23725607;10542841;2000958;2352423;28689
360;2021-01-16;23943296;10557985;2019636;2368733;28708
361;2021-01-17;24119850;10571773;2033518;2381277;28721
362;2021-01-18;24260678;10581823;2040659;2390102;28731
363;2021-01-19;24417573;10595639;2052028;2400598;28740
364;2021-01-20;24604955;10610883;2068002;2414166;28749
365;2021-01-21;24797508;10625428;2088400;2428221;28755
366;2021-01-22;24989283;10639684;2106262;2441854;28760
367;2021-01-23;25167458;10654533;2122679;2455185;28766
368;2021-01-24;25307602;10667736;2134936;2466813;28777
369;2021-01-25;25437202;10676838;2141665;2475372;28780
370;2021-01-26;25588210;10689527;2148077;2485956;28786
371;2021-01-27;25743666;10701193;2161275;2501147;28794
372;2021-01-28;25910426;10720048;2178828;2515507;28799
373;2021-01-29;26074169;10733130;2192850;2529070;28806
374;2021-01-30;26225109;10746174;2205171;2541783;28811
375;2021-01-31;26337967;10757610;2216363;2553032;28818
376;2021-02-01;26463281;10766245;2221971;2560957;28823
377;2021-02-02;26580311;10777284;2228085;2570608;28829
378;2021-02-03;26704683;10790183;2237790;2583790;28838
379;2021-02-04;26829712;10802591;2252001;2597446;28842
380;2021-02-05;26960823;10814304;2264909;2611659;28848
381;2021-02-06;27077683;10826363;2275394;2625098;28851
382;2021-02-07;27167112;10838194;2284010;2636738;28857
383;2021-02-08;27249911;10847304;2288545;2644707;28860
384;2021-02-09;27345292;10858371;2291924;2655319;28871
385;2021-02-10;27440575;10871294;2299996;2668266;28879
386;2021-02-11;27547347;10880603;2310233;2683403;28887
387;2021-02-12;27647927;10892746;2320093;2697296;28892
388;2021-02-13;27738685;10904940;2328447;2710819;28898
389;2021-02-14;27806993;10916589;2334561;2721879;28900
390;2021-02-15;27862441;10925710;2338987;2729223;28905
391;2021-02-16;27921663;10937320;2342843;2739591;28911
392;2021-02-17;27990508;10950201;2350399;2751657;28912
393;2021-02-18;28063088;10963394;2360606;2765412;28918
394;2021-02-19;28138246;10977387;2369719;2780882;28920
395;2021-02-20;28212029;10991651;2378883;2795796;28926
396;2021-02-21;28267294;11005850;2386559;2809246;28930
397;2021-02-22;28322777;11016434;2390928;2818863;28937
398;2021-02-23;28396637;11030176;2394811;2832162;28939
399;2021-02-24;28471662;11046914;2402818;2848564;28947
400;2021-02-25;28548941;11063491;2414687;2868435;28957
401;2021-02-26;28624361;11079979;2424684;2888923;28965
402;2021-02-27;28695650;11096731;2434446;2907825;28970
403;2021-02-28;28747414;11112241;2442336;2925265;28978
404;2021-03-01;28797854;11124527;2447068;2938371;28986
405;2021-03-02;28856272;11139516;2451011;2955434;28996
406;2021-03-03;28923323;11156923;2460030;2976274;29007
407;2021-03-04;28992266;11173761;2471942;2999119;29021
408;2021-03-05;29060145;11192045;2482522;3023129;29029
409;2021-03-06;29121176;11210799;2492079;3046762;29034
410;2021-03-07;29162787;11229398;2500182;3067486;29046
411;2021-03-08;29206879;11244786;2505193;3081368;29061
412;2021-03-09;29262382;11262707;2509445;3101093;29074
413;2021-03-10;29320154;11285561;2518591;3123368;29090
414;2021-03-11;29381944;11308846;2532947;3149017;29102
415;2021-03-12;29444547;11333728;2545781;3175807;29112
416;2021-03-13;29501367;11359048;2558455;3201838;29117
417;2021-03-14;29540641;11385339;2569245;3223142;29130
418;2021-03-15;29591674;11409831;2575849;3238394;29137
419;2021-03-16;29645741;11438734;2581329;3258770;29154
420;2021-03-17;29705015;11474605;2594764;3281810;29166
421;2021-03-18;29767405;11514331;2612268;3306711;29183
422;2021-03-19;29829037;11555284;2629750;3332418;29192
423;2021-03-20;29887904;11599130;2645783;3356331;29196
424;2021-03-21;29923282;11646081;2659516;3376376;29206
425;2021-03-22;29970706;11686796;2667225;3400877;29211
426;2021-03-23;30023564;11734058;2674710;3419616;29221
427;2021-03-24;30111321;11787534;2690523;3440862;29230
428;2021-03-25;30178948;11846652;2713180;3464543;29239
429;2021-03-26;30255319;11908910;2734753;3488619;29252
430;2021-03-27;30319374;11971624;2755225;3512453;29259
431;2021-03-28;30365694;12039644;2772401;3532057;29276
432;2021-03-29;30431566;12095855;2782273;3544957;29296
433;2021-03-30;30493256;12149335;2791822;3561012;29304
434;2021-03-31;30562786;12221665;2808873;3584899;29322
435;2021-04-01;30639642;12303131;2833173;3607083;29333
436;2021-04-02;30713666;12392260;2855061;3629000;29341
437;2021-04-03;30778546;12485509;2873190;3650247;29348
438;2021-04-04;30816469;12589067;2885386;3668264;29357
439;2021-04-05;30883556;12686049;2893883;3678944;29365
440;2021-04-06;30946382;12801785;2900768;3686707;29379
441;2021-04-07;31022159;12928574;2910445;3700393;29385
442;2021-04-08;31102225;13060542;2930852;3717602;29390
443;2021-04-09;31186978;13205926;2956316;3736526;29396
444;2021-04-10;31257513;13358805;2980413;3754077;29405
445;2021-04-11;31304969;13527717;2998268;3769814;29419
446;2021-04-12;31367152;13689453;3011513;3779594;29429
447;2021-04-13;31447993;13873825;3022323;3793033;29450
448;2021-04-14;31523597;14074564;3044016;3809193;29469
449;2021-04-15;31597579;14291917;3073442;3826156;29484
450;2021-04-16;31681052;14526609;3099273;3842079;29499
451;2021-04-17;31736539;14788003;3123077;3857443;29519
452;2021-04-18;31780368;15061805;3142262;3870131;29533
453;2021-04-19;31838914;15320972;3153699;3878994;29556
454;2021-04-20;31901354;15616130;3163308;3891063;29576
455;2021-04-21;31965700;15930774;3188192;3904899;29594
456;2021-04-22;32032419;16263695;3217710;3920945;29638
457;2021-04-23;32095314;16610481;3245253;3935703;29653
458;2021-04-24;32150286;16960172;3268645;3949517;29663
459;2021-04-25;32185055;17313163;3287418;3962674;29680
460;2021-04-26;32227342;17636186;3299325;3971114;29717
461;2021-04-27;32279624;17997113;3310301;3981512;29750
462;2021-04-28;32334810;18376421;3332532;3994894;29773
463;2021-04-29;32393636;18762976;3357268;4009208;29798
464;2021-04-30;32451738;19164969;3381597;4022653;29811
465;2021-05-01;32500514;19557457;3400532;4035617;29824
466;2021-05-02;32531070;19925517;3416822;4044762;29838
467;2021-05-03;32575692;20282833;3425982;4050708;29850
468;2021-05-04;32618587;20664979;3433516;4059821;29865
469;2021-05-05;32664630;21077410;3451550;4070400;29884
470;2021-05-06;32710809;21491598;3473503;4082198;29893
471;2021-05-07;32759224;21892676;3491988;4092747;29906
472;2021-05-08;32794879;22296081;3507673;4102921;29922
473;2021-05-09;32817749;22662575;3520329;4111210;29931
474;2021-05-10;32850125;22992517;3527251;4116287;29938
475;2021-05-11;32885603;23340938;3533376;4123230;29946
476;2021-05-12;32921754;23703665;3548285;4131078;29955
477;2021-05-13;32960490;24046809;3565704;4139160;29957
478;2021-05-14;33002707;24372907;3577040;4146722;29964
479;2021-05-15;33033464;24684077;3584934;4153374;29975
480;2021-05-16;33051156;24965463;3593434;4159122;29978
481;2021-05-17;33076399;25228996;3598846;4162576;29983
482;2021-05-18;33105314;25496330;3603055;4167025;29992
483;2021-05-19;33134919;25772440;3614095;4172525;29995
484;2021-05-20;33165136;26031991;3626393;4178261;29999
485;2021-05-21;33193961;26289290;3635162;4183476;30003
486;2021-05-22;33215174;26530132;3642244;4188190;30007
487;2021-05-23;33228958;26752447;3648958;4192183;30019
488;2021-05-24;33250830;26948874;3651640;4194672;30029
489;2021-05-25;33275420;27157795;3653551;4197892;30046
490;2021-05-26;33300016;27369093;3656177;4201827;30063
491;2021-05-27;33326857;27555457;3662490;4205970;30074
492;2021-05-28;33349099;27729247;3669870;4209707;30083
493;2021-05-29;33362410;27894800;3675296;4213055;30096
494;2021-05-30;33369764;28047534;3679148;4216003;30105
495;2021-05-31;33376039;28175044;3681126;4217821;30118
496;2021-06-01;33396892;28307832;3682911;4220304;30124
497;2021-06-02;33413605;28441986;3687828;4223200;30137
498;2021-06-03;33432001;28574350;3692468;4225163;30141
499;2021-06-04;33449866;28694879;3695633;4227719;30157
500;2021-06-05;33465470;28809339;3697927;4230153;30173
501;2021-06-06;33471486;28909975;3700367;4232428;30191
502;2021-06-07;33485556;28996473;3701484;4233698;30205
503;2021-06-08;33498595;29089069;3702688;4235592;30210
504;2021-06-09;33517160;29182532;3705942;4237790;30225
505;2021-06-10;33531941;29274823;3709129;4239868;30228
506;2021-06-11;33557092;29359155;3711569;4241760;30234
507;2021-06-12;33566252;29439989;3713480;4243482;30248
508;2021-06-13;33571522;29510410;3714969;4244872;30262
509;2021-06-14;33583308;29570881;3715518;4245779;30273
510;2021-06-15;33594037;29633105;3716170;4247032;30286
511;2021-06-16;33605945;29700313;3717625;4248432;30301
512;2021-06-17;33617708;29762793;3718955;4249755;30309
513;2021-06-18;33638890;29823546;3720031;4250902;30322
514;2021-06-19;33647942;29881772;3721139;4252095;30331
515;2021-06-20;33652898;29935221;3721981;4252976;30355
516;2021-06-21;33663452;29977861;3722327;4253460;30366
517;2021-06-22;33674248;30028709;3722782;4254294;30380
518;2021-06-23;33686913;30082778;3723798;4255434;30404
519;2021-06-24;33701389;30134445;3724806;4255700;30424
520;2021-06-25;33725992;30183143;3725580;4256451;30457
521;2021-06-26;33735361;30233183;3726172;4257289;30499
522;2021-06-27;33739983;30279331;3726710;4258069;30528
523;2021-06-28;33753566;30316897;3726929;4258456;30560
524;2021-06-29;33761043;30362848;3727333;4259133;30602
525;2021-06-30;33776394;30411634;3728141;4259909;30643
526;2021-07-01;33791514;30458251;3729033;4260788;30684
527;2021-07-02;33821271;30502362;3729682;4261582;30734
528;2021-07-03;33826685;30545433;3730353;4262511;30753
529;2021-07-04;33830970;30585229;3730912;4263317;30804
530;2021-07-05;33839872;30619932;3731124;4263797;30831
531;2021-07-06;33862154;30663665;3731564;4264704;30861
532;2021-07-07;33882330;30709557;3732549;4265714;30903
533;2021-07-08;33903195;30752950;3733519;4267105;30951
534;2021-07-09;33950787;30795716;3734468;4268491;31015
535;2021-07-10;33960906;30837222;3735420;4269885;31100
536;2021-07-11;33972653;30874376;3736165;4271276;31221
537;2021-07-12;34002076;30907282;3736489;4272163;31323
538;2021-07-13;34028607;30946147;3737135;4273693;31429
